"DateTime";"IPhone[en]"
"2009-11-21 00:00:00";6932
"2009-11-22 00:00:00";4900
"2009-11-23 00:00:00";7872
"2009-11-24 00:00:00";7952
"2009-11-25 00:00:00";7895
"2009-11-26 00:00:00";7365
"2009-11-27 00:00:00";8053
"2009-11-28 00:00:00";7887
"2009-11-29 00:00:00";7566
"2009-11-30 00:00:00";8739
"2009-12-01 00:00:00";8792
"2009-12-02 00:00:00";8585
"2009-12-03 00:00:00";8701
"2009-12-04 00:00:00";8457
"2009-12-05 00:00:00";7819
"2009-12-06 00:00:00";8078
"2009-12-07 00:00:00";8897
"2009-12-08 00:00:00";8578
"2009-12-09 00:00:00";8131
"2009-12-10 00:00:00";8766
"2009-12-11 00:00:00";7621
"2009-12-12 00:00:00";7828
"2009-12-13 00:00:00";8098
"2009-12-14 00:00:00";8575
"2009-12-15 00:00:00";8159
"2009-12-16 00:00:00";8184
"2009-12-17 00:00:00";8998
"2009-12-18 00:00:00";8434
"2009-12-19 00:00:00";8126
"2009-12-20 00:00:00";8130
"2009-12-21 00:00:00";9229
"2009-12-22 00:00:00";8804
"2009-12-23 00:00:00";9302
"2009-12-24 00:00:00";7626
"2009-12-25 00:00:00";7501
"2009-12-26 00:00:00";8973
"2009-12-27 00:00:00";8575
"2009-12-28 00:00:00";9731
"2009-12-29 00:00:00";9483
"2009-12-30 00:00:00";9703
"2009-12-31 00:00:00";8502
"2010-01-01 00:00:00";7426
"2010-01-02 00:00:00";7960
"2010-01-03 00:00:00";7131
"2010-01-04 00:00:00";7957
"2010-01-05 00:00:00";10004
"2010-01-06 00:00:00";13248
"2010-01-07 00:00:00";12005
"2010-01-08 00:00:00";10654
"2010-01-09 00:00:00";9183
"2010-01-10 00:00:00";8141
"2010-01-11 00:00:00";9817
"2010-01-12 00:00:00";9616
"2010-01-13 00:00:00";9508
"2010-01-14 00:00:00";9448
"2010-01-15 00:00:00";9073
"2010-01-16 00:00:00";7895
"2010-01-17 00:00:00";8023
"2010-01-18 00:00:00";9702
"2010-01-19 00:00:00";9899
"2010-01-20 00:00:00";9428
"2010-01-21 00:00:00";9523
"2010-01-22 00:00:00";9801
"2010-01-23 00:00:00";818
"2010-01-24 00:00:00";0
"2010-01-25 00:00:00";10449
"2010-01-26 00:00:00";11596
"2010-01-27 00:00:00";16175
"2010-01-28 00:00:00";22676
"2010-01-29 00:00:00";16730
"2010-01-30 00:00:00";14082
"2010-01-31 00:00:00";10940
"2010-02-01 00:00:00";11762
"2010-02-02 00:00:00";11728
"2010-02-03 00:00:00";12263
"2010-02-04 00:00:00";10874
"2010-02-05 00:00:00";10713
"2010-02-06 00:00:00";9243
"2010-02-07 00:00:00";9488
"2010-02-08 00:00:00";7450
"2010-02-09 00:00:00";9679
"2010-02-10 00:00:00";9149
"2010-02-11 00:00:00";9437
"2010-02-12 00:00:00";8425
"2010-02-13 00:00:00";7825
"2010-02-14 00:00:00";7915
"2010-02-15 00:00:00";9354
"2010-02-16 00:00:00";9468
"2010-02-17 00:00:00";8928
"2010-02-18 00:00:00";9149
"2010-02-19 00:00:00";8115
"2010-02-20 00:00:00";7956
