"DateTime";"MacBook[en]"
"2010-01-01 00:00:00";1573
"2010-01-02 00:00:00";1868
"2010-01-03 00:00:00";1802
"2010-01-04 00:00:00";1875
"2010-01-05 00:00:00";1796
"2010-01-06 00:00:00";2053
"2010-01-07 00:00:00";2205
"2010-01-08 00:00:00";2269
"2010-01-09 00:00:00";2110
"2010-01-10 00:00:00";1797
"2010-01-11 00:00:00";2037
"2010-01-12 00:00:00";2087
"2010-01-13 00:00:00";2068
"2010-01-14 00:00:00";1996
"2010-01-15 00:00:00";1935
"2010-01-16 00:00:00";1777
"2010-01-17 00:00:00";1995
"2010-01-18 00:00:00";2199
"2010-01-19 00:00:00";2323
"2010-01-20 00:00:00";2143
"2010-01-21 00:00:00";2122
"2010-01-22 00:00:00";2249
"2010-01-23 00:00:00";238
"2010-01-24 00:00:00";0
"2010-01-25 00:00:00";2305
"2010-01-26 00:00:00";2312
"2010-01-27 00:00:00";2902
"2010-01-28 00:00:00";3769
"2010-01-29 00:00:00";3088
"2010-01-30 00:00:00";2761
"2010-01-31 00:00:00";2658
"2010-02-01 00:00:00";2879
"2010-02-02 00:00:00";2755
"2010-02-03 00:00:00";2763
"2010-02-04 00:00:00";2718
"2010-02-05 00:00:00";2532
"2010-02-06 00:00:00";2531
"2010-02-07 00:00:00";2438
"2010-02-08 00:00:00";1884
"2010-02-09 00:00:00";2557
"2010-02-10 00:00:00";2289
"2010-02-11 00:00:00";2274
"2010-02-12 00:00:00";2176
"2010-02-13 00:00:00";1937
"2010-02-14 00:00:00";1993
"2010-02-15 00:00:00";2080
"2010-02-16 00:00:00";2107
"2010-02-17 00:00:00";2219
"2010-02-18 00:00:00";2246
"2010-02-19 00:00:00";1801
"2010-02-20 00:00:00";1925
"2010-02-21 00:00:00";1980
"2010-02-22 00:00:00";2092
"2010-02-23 00:00:00";2183
"2010-02-24 00:00:00";1858
"2010-02-25 00:00:00";1740
"2010-02-26 00:00:00";1745
"2010-02-27 00:00:00";1861
"2010-02-28 00:00:00";1964
"2010-03-01 00:00:00";1960
"2010-03-02 00:00:00";2244
"2010-03-03 00:00:00";2011
"2010-03-04 00:00:00";1951
"2010-03-05 00:00:00";1944
"2010-03-06 00:00:00";2021
"2010-03-07 00:00:00";1863
"2010-03-08 00:00:00";2030
"2010-03-09 00:00:00";2033
"2010-03-10 00:00:00";1909
"2010-03-11 00:00:00";1909
"2010-03-12 00:00:00";1997
"2010-03-13 00:00:00";2069
"2010-03-14 00:00:00";1902
"2010-03-15 00:00:00";1841
"2010-03-16 00:00:00";1843
"2010-03-17 00:00:00";1837
"2010-03-18 00:00:00";1626
"2010-03-19 00:00:00";1995
"2010-03-20 00:00:00";1740
"2010-03-21 00:00:00";1717
"2010-03-22 00:00:00";1818
"2010-03-23 00:00:00";1858
"2010-03-24 00:00:00";1738
"2010-03-25 00:00:00";1710
"2010-03-26 00:00:00";1802
"2010-03-27 00:00:00";1714
"2010-03-28 00:00:00";1708
"2010-03-29 00:00:00";1837
"2010-03-30 00:00:00";1914
